"","Year","Pop","CPI","ISO","R.Pop","U.Pop","R.CPI","U.CPI"
"1",2017,"2.879",NA,"ALB",NA,NA,NA,NA
"2",2016,"2.8761",1.09107,"ALB",NA,NA,NA,NA
"3",2015,"2.8807",1.07725,"ALB",NA,NA,NA,NA
"4",2014,"2.8891",1.05706,"ALB",NA,NA,NA,NA
"5",2013,"2.89509",NA,"ALB",NA,NA,NA,NA
"6",2012,"2.9004",1.02032,"ALB",NA,NA,NA,NA
"7",2011,"2.9052",NA,"ALB",NA,NA,NA,NA
"8",2010,"2.91302",NA,"ALB",NA,NA,NA,NA
"9",2009,"2.92752",NA,"ALB",NA,NA,NA,NA
"10",2008,"2.94731",0.912674,"ALB",NA,NA,NA,NA
"11",2007,"2.97002",NA,"ALB",NA,NA,NA,NA
"12",2006,"2.99255",NA,"ALB",NA,NA,NA,NA
"13",2005,"3.01149",0.837987,"ALB",NA,NA,NA,NA
"14",2004,"3.02694",NA,"ALB",NA,NA,NA,NA
"15",2003,"3.03962",NA,"ALB",NA,NA,NA,NA
"16",2002,"3.05101",0.779835,"ALB",NA,NA,NA,NA
"17",2001,"3.06017",NA,"ALB",NA,NA,NA,NA
"18",2000,"3.08903",NA,"ALB",NA,NA,NA,NA
"19",1999,"3.10878",NA,"ALB",NA,NA,NA,NA
"20",1998,"3.12853",NA,"ALB",NA,NA,NA,NA
"21",1997,"3.14828",NA,"ALB",NA,NA,NA,NA
"22",1996,"3.16803",0.444175,"ALB",NA,NA,NA,NA
"23",1995,"3.18778",NA,"ALB",NA,NA,NA,NA
"24",1994,"3.20754",NA,"ALB",NA,NA,NA,NA
"25",1993,"3.22729",NA,"ALB",NA,NA,NA,NA
"26",1992,"3.24704",NA,"ALB",NA,NA,NA,NA
"27",1991,"3.26679",NA,"ALB",NA,NA,NA,NA
"28",1990,"3.28654",NA,"ALB",NA,NA,NA,NA
"29",1989,"3.22794",NA,"ALB",NA,NA,NA,NA
"30",1988,"3.14234",NA,"ALB",NA,NA,NA,NA
"31",1987,"3.08361",NA,"ALB",NA,NA,NA,NA
"32",1986,"3.02264",NA,"ALB",NA,NA,NA,NA
"33",1985,"2.96476",NA,"ALB",NA,NA,NA,NA
"34",1984,"2.90443",NA,"ALB",NA,NA,NA,NA
"35",1983,"2.84396",NA,"ALB",NA,NA,NA,NA
"36",1982,"2.78428",NA,"ALB",NA,NA,NA,NA
"37",1981,"2.72606",NA,"ALB",NA,NA,NA,NA
"38",1980,"2.672",NA,"ALB",NA,NA,NA,NA
"39",2017,"41.318",NA,"DZA",NA,NA,NA,NA
"40",2016,"40.6061",NA,"DZA",NA,NA,NA,NA
"41",2015,"39.8715",NA,"DZA",NA,NA,NA,NA
"42",2014,"39.1133",NA,"DZA",NA,NA,NA,NA
"43",2013,"38.3386",NA,"DZA",NA,NA,NA,NA
"44",2012,"37.5658",NA,"DZA",NA,NA,NA,NA
"45",2011,"36.8196",1.01512,"DZA",NA,NA,NA,NA
"46",2010,"36.1176",NA,"DZA",NA,NA,NA,NA
"47",2009,"35.4658",NA,"DZA",NA,NA,NA,NA
"48",2008,"34.8607",NA,"DZA",NA,NA,NA,NA
"49",2007,"34.3001",NA,"DZA",NA,NA,NA,NA
"50",2006,"33.7779",NA,"DZA",NA,NA,NA,NA
"51",2005,"33.2884",NA,"DZA",NA,NA,NA,NA
"52",2004,"32.8311",NA,"DZA",NA,NA,NA,NA
"53",2003,"32.4035",NA,"DZA",NA,NA,NA,NA
"54",2002,"31.995",NA,"DZA",NA,NA,NA,NA
"55",2001,"31.5922",NA,"DZA",NA,NA,NA,NA
"56",2000,"31.1837",NA,"DZA",NA,NA,NA,NA
"57",1999,"30.7656",NA,"DZA",NA,NA,NA,NA
"58",1998,"30.3357",NA,"DZA",NA,NA,NA,NA
"59",1997,"29.8868",NA,"DZA",NA,NA,NA,NA
"60",1996,"29.4114",NA,"DZA",NA,NA,NA,NA
"61",1995,"28.9043",0.496834,"DZA",NA,NA,NA,NA
"62",1994,"28.3623",NA,"DZA",NA,NA,NA,NA
"63",1993,"27.7863",NA,"DZA",NA,NA,NA,NA
"64",1992,"27.1811",NA,"DZA",NA,NA,NA,NA
"65",1991,"26.5543",NA,"DZA",NA,NA,NA,NA
"66",1990,"25.9124",NA,"DZA",NA,NA,NA,NA
"67",1989,"25.2577",NA,"DZA",NA,NA,NA,NA
"68",1988,"24.5915",0.116447,"DZA",NA,NA,NA,NA
"69",1987,"23.9179",NA,"DZA",NA,NA,NA,NA
"70",1986,"23.2413",NA,"DZA",NA,NA,NA,NA
"71",1985,"22.5659",NA,"DZA",NA,NA,NA,NA
"72",1984,"21.8939",NA,"DZA",NA,NA,NA,NA
"73",1983,"21.2283",NA,"DZA",NA,NA,NA,NA
"74",1982,"20.5757",NA,"DZA",NA,NA,NA,NA
"75",1981,"19.9437",NA,"DZA",NA,NA,NA,NA
"76",1980,"19.3377",NA,"DZA",NA,NA,NA,NA
"77",2017,"29.784",NA,"AGO","16.209","13.575",NA,NA
"78",2016,"28.8135",NA,"AGO","15.8996","12.9139",NA,NA
"79",2015,"27.8593",NA,"AGO","15.5873","12.272",NA,NA
"80",2014,"26.9205",NA,"AGO","15.2709","11.6496",NA,NA
"81",2013,"25.9983",NA,"AGO","14.9516","11.0467",NA,NA
"82",2012,"25.0962",NA,"AGO","14.6313","10.4648",NA,NA
"83",2011,"24.2186",NA,"AGO","14.3132","9.90539",NA,NA
"84",2010,"23.3691",NA,"AGO","13.9988","9.37032",NA,NA
"85",2009,"22.5495",NA,"AGO","13.6878","8.86175",NA,NA
"86",2008,"21.7594",0.723427,"AGO","13.3801","8.37934",NA,NA
"87",2007,"20.9977",NA,"AGO","13.0769","7.92075",NA,NA
"88",2006,"20.2624",NA,"AGO","12.7771","7.48534",NA,NA
"89",2005,"19.5525",NA,"AGO","12.4806","7.07196",NA,NA
"90",2004,"18.8657",NA,"AGO","12.1863","6.67941",NA,NA
"91",2003,"18.2034",NA,"AGO","11.8968","6.30656",NA,NA
"92",2002,"17.5726",NA,"AGO","11.6164","5.95625",NA,NA
"93",2001,"16.9833",NA,"AGO","11.353","5.63029",NA,NA
"94",2000,"16.4409",0.0338508,"AGO","11.1109","5.32998",NA,NA
"95",1999,"15.9498",NA,"AGO","10.895","5.0548",NA,NA
"96",1998,"15.5043",NA,"AGO","10.7019","4.80246",NA,NA
"97",1997,"15.089",NA,"AGO","10.5218","4.56713",NA,NA
"98",1996,"14.6823",NA,"AGO","10.3407","4.34155",NA,NA
"99",1995,"14.269",NA,"AGO","10.1481","4.12089",NA,NA
"100",1994,"13.8413",NA,"AGO","9.93805","3.90325",NA,NA
"101",1993,"13.4037",NA,"AGO","9.71369","3.69005",NA,NA
"102",1992,"12.9683",NA,"AGO","9.48349","3.48485",NA,NA
"103",1991,"12.5534",NA,"AGO","9.26181","3.29164",NA,NA
"104",1990,"12.1714",NA,"AGO","9.05774","3.1137",NA,NA
"105",1989,"11.8272",NA,"AGO","8.8761","2.95113",NA,NA
"106",1988,"11.514",NA,"AGO","8.71216","2.80181",NA,NA
"107",1987,"11.2183",NA,"AGO","8.55673","2.66153",NA,NA
"108",1986,"10.921",NA,"AGO","8.39522","2.52582",NA,NA
"109",1985,"10.609",NA,"AGO","8.21766","2.39138",NA,NA
"110",1984,"10.2773",NA,"AGO","8.01991","2.25741",NA,NA
"111",1983,"9.93156",NA,"AGO","7.80641","2.12516",NA,NA
"112",1982,"9.58216",NA,"AGO","7.58495","1.99721",NA,NA
"113",1981,"9.24451",NA,"AGO","7.36796","1.87654",NA,NA
"114",1980,"8.9299",NA,"AGO","7.16482","1.76508",NA,NA
"115",2017,"44.271",NA,"ARG","3.5284","40.7426",NA,NA
"116",2016,"43.8474",4.13457,"ARG","3.55471","40.2927",NA,NA
"117",2015,"43.4178",NA,"ARG","3.58153","39.8362",NA,NA
"118",2014,"42.9815",2.33234,"ARG","3.60873","39.3728",NA,NA
"119",2013,"42.5399",1.66181,"ARG","3.63631","38.9036",NA,NA
"120",2012,"42.0967",1.31168,"ARG","3.66452","38.4322",NA,NA
"121",2011,"41.6569",1.04649,"ARG","3.69372","37.9632",NA,NA
"122",2010,"41.2239",0.860075,"ARG","3.72417","37.4997",NA,NA
"123",2009,"40.7994",0.690382,"ARG","3.75559","37.0438",NA,NA
"124",2008,"40.3824",0.605765,"ARG","3.78706","36.5953",NA,NA
"125",2007,"39.9702",0.482679,"ARG","3.81915","36.1511",NA,NA
"126",2006,"39.5589",0.394219,"ARG","3.85066","35.7082",NA,NA
"127",2005,"39.1455",0.357184,"ARG","3.88167","35.2638",NA,NA
"128",2004,"38.7287",0.322517,"ARG","3.91199","34.8167",NA,NA
"129",2003,"38.3094",0.305507,"ARG","3.94204","34.3673",NA,NA
