CountryCode,CountryName,CoverageType,RequestYear,DataYear,DataType,PovertyLine,HeadCount,PovGap,PovGapSqr,ReqYearPopulation,PovertyLine.extreme,HeadCount.extreme,PovGap.extreme,PovGapSqr.extreme
AGO,Angola,N,1981,2000.21,X,3.768034,0.5279601,0.2520647,0.1579369,9.244507,1.9,0.2528001,0.1111034,0.06568691
AGO,Angola,N,1984,2000.21,X,3.768034,0.5299392,0.2538577,0.1591641,10.277321,1.9,0.254005,0.1120268,0.06627941
AGO,Angola,N,1987,2000.21,X,3.768034,0.5229275,0.249621,0.156268,11.218268,1.9,0.2502811,0.1098466,0.06488236
AGO,Angola,N,1990,2000.21,X,3.768034,0.5500785,0.2654998,0.1671475,12.171441,1.9,0.26458,0.1179798,0.07014908
AGO,Angola,N,1993,2000.21,X,3.768034,0.7287194,0.3973776,0.2649847,13.403734,1.9,0.4281284,0.197226,0.1212644
AGO,Angola,N,1996,2000.21,X,3.768034,0.6559955,0.3359779,0.2174803,14.682284,1.9,0.3468005,0.1567687,0.09538492
AGO,Angola,N,1999,2000.21,X,3.768034,0.6324472,0.318604,0.2047353,15.949766,1.9,0.3235836,0.1467643,0.08884374
AGO,Angola,N,2002,,X,3.768034,0.630907,0.3188726,0.2028646,17.572649,1.9,0.3340467,0.143723,0.0827085
AGO,Angola,N,2005,,X,3.768034,0.6418607,0.3167545,0.194406,19.552542,1.9,0.3372437,0.1304983,0.06822459
AGO,Angola,N,2008,,X,3.768034,0.6252188,0.2798545,0.1591063,21.75942,1.9,0.2862413,0.09260604,0.04258246
AGO,Angola,N,2010,2008.5,X,3.768034,0.6444213,0.2915666,0.1660061,23.369131,1.9,0.3015225,0.0967811,0.04409723
AGO,Angola,N,2011,2008.5,X,3.768034,0.6459446,0.2921223,0.1664013,24.218565,1.9,0.3020035,0.09710341,0.0442632
AGO,Angola,N,2012,2008.5,X,3.768034,0.6195532,0.2758439,0.1549651,25.09615,1.9,0.2824827,0.08785027,0.03957426
AGO,Angola,N,2013,2008.5,X,3.768034,0.6141534,0.2713716,0.1518301,25.99834,1.9,0.2733269,0.08535666,0.03833169
AGO,Angola,N,2015,2008.5,X,3.768034,0.6195532,0.2757078,0.1548694,27.859305,1.9,0.2820334,0.08777331,0.03953604
ALB,Albania,N,1981,1996,X,2.025577,0.00920669,0.001435487,0.0004201266,2.726056,1.9,0.00534846,0.001005176,0.0003120076
ALB,Albania,N,1984,1996,X,2.025577,0.01013405,0.001720314,0.0005004559,2.904429,1.9,0.008381338,0.001227522,0.0003675261
ALB,Albania,N,1987,1996,X,2.025577,0.009605859,0.001682444,0.0004890708,3.083605,1.9,0.008243443,0.001194129,0.0003595307
ALB,Albania,N,1990,1996,X,2.025577,0.01841943,0.002657399,0.0007448057,3.286542,1.9,0.01104529,0.001861499,0.0005414408
ALB,Albania,N,1993,1996,X,2.025577,0.0782996,0.01414458,0.004020945,3.227287,1.9,0.05807021,0.01041454,0.00289888
ALB,Albania,N,1996,1996,X,2.025577,0.01897988,0.002744825,0.0007660238,3.168033,1.9,0.01129124,0.00191154,0.0005560317
ALB,Albania,N,1999,,X,2.025577,0.02429539,0.003915028,0.001132264,3.108778,1.9,0.01642849,0.002808263,0.000831018
ALB,Albania,N,2002,2002,X,2.025577,0.02941709,0.004885301,0.001435161,3.05101,1.9,0.0204732,0.003545046,0.00105938
ALB,Albania,N,2005,2005,X,2.025577,0.01701671,0.002552013,0.0006806117,3.011487,1.9,0.01123728,0.001827474,0.0004780857
ALB,Albania,N,2008,2008,X,2.025577,0.005056251,0.0009062215,0.0002584303,2.947314,1.9,0.003705177,0.0006790045,0.0001859087
ALB,Albania,N,2010,,X,2.025577,0.01076172,0.002248813,0.0007407166,2.913021,1.9,0.008940911,0.00174069,0.0005698051
ALB,Albania,N,2011,,X,2.025577,0.01272437,0.002523507,0.0008448221,2.905195,1.9,0.009363494,0.001965767,0.0006554914
ALB,Albania,N,2012,2012,X,2.025577,0.01272502,0.002764633,0.0009451358,2.900401,1.9,0.01063921,0.002174487,0.0007369803
ALB,Albania,N,2013,2012,X,2.025577,0.01138562,0.002397002,0.000812696,2.895092,1.9,0.009975285,0.001853979,0.0006334657
ALB,Albania,N,2015,2012,X,2.025577,0.008497544,0.001742239,0.0005958701,2.880703,1.9,0.006553165,0.001349921,0.0004669465
ARM,Armenia,N,1981,1996,Y,3.4247,0.2315889,0.06746412,0.02789968,3.148092,1.9,0.05131979,0.01092877,0.003943845
ARM,Armenia,N,1984,1996,Y,3.4247,0.2050489,0.05750039,0.02317864,3.285595,1.9,0.0409416,0.008610053,0.003151468
ARM,Armenia,N,1987,1996,Y,3.4247,0.2211064,0.06346976,0.02598692,3.451942,1.9,0.0470804,0.009966988,0.003612858
ARM,Armenia,N,1990,1996,Y,3.4247,0.2262873,0.06543441,0.02692444,3.538165,1.9,0.0491532,0.01043473,0.00377341
ARM,Armenia,N,1993,1996,Y,3.4247,0.5879307,0.245807,0.1305639,3.363098,1.9,0.2784795,0.08624344,0.03722245
ARM,Armenia,N,1996,1996,Y,3.4247,0.4570646,0.1709208,0.08460945,3.168215,1.9,0.1790498,0.04823091,0.01894587
ARM,Armenia,N,1999,1999,X,3.4247,0.5687284,0.1941239,0.08768264,3.089017,1.9,0.168849,0.0406837,0.0149109
ARM,Armenia,N,2002,2002,X,3.4247,0.574306,0.1825623,0.07841325,3.033897,1.9,0.1505949,0.03233986,0.01109426
ARM,Armenia,N,2005,2005,X,3.4247,0.3236236,0.07687405,0.02795538,2.981259,1.9,0.04452266,0.009067995,0.003170111
ARM,Armenia,N,2008,2008,X,3.4247,0.1797634,0.03542961,0.01143018,2.90822,1.9,0.01357321,0.002889761,0.0009856588
ARM,Armenia,N,2010,2010,X,3.4247,0.2529511,0.05267439,0.01655613,2.877311,1.9,0.01903291,0.002909048,0.0008035571
ARM,Armenia,N,2011,2011,X,3.4247,0.234505,0.049457,0.01605472,2.875581,1.9,0.02213477,0.003468121,0.000906169
ARM,Armenia,N,2012,2012,X,3.4247,0.2141221,0.04414985,0.01412868,2.881922,1.9,0.01579596,0.002675307,0.0008342812
ARM,Armenia,N,2013,2013,X,3.4247,0.1972588,0.04478905,0.01584283,2.893509,1.9,0.02240529,0.005215413,0.001793036
ARM,Armenia,N,2015,2015,X,3.4247,0.1703355,0.03808167,0.01331574,2.91695,1.9,0.0186327,0.003501718,0.001160052
AZE,Azerbaijan,N,1981,1995,X,3.468975,0.03294844,0.009831208,0.004760693,6.24932,1.9,0.006565203,0.002922034,0.001702278
AZE,Azerbaijan,N,1984,1995,X,3.468975,0.02590372,0.007579857,0.003795238,6.557585,1.9,0.005287195,0.002597424,0.001443867
AZE,Azerbaijan,N,1987,1995,X,3.468975,0.02067529,0.006378667,0.003295152,6.8935,1.9,0.005076344,0.002407966,0.001276545
AZE,Azerbaijan,N,1990,1995,X,3.468975,0.03294844,0.0101297,0.004894645,7.159,1.9,0.006565203,0.002969075,0.001734182
AZE,Azerbaijan,N,1993,1995,X,3.468975,0.1388498,0.03943933,0.01785651,7.495,1.9,0.03243883,0.009587803,0.004654397
AZE,Azerbaijan,N,1996,,X,3.468975,0.3038511,0.09017299,0.03990529,7.763,1.9,0.06752116,0.01887835,0.008623606
AZE,Azerbaijan,N,1999,,X,3.468975,0.2480673,0.06562014,0.02591382,7.98275,1.9,0.04128207,0.009414535,0.003731817
AZE,Azerbaijan,N,2002,2002,X,3.468975,0.01198132,0.001407865,0.0003357599,8.17195,1.9,0.000428381,2.178433e-05,1.420063e-06
AZE,Azerbaijan,N,2005,2005,X,3.468975,0.001444742,8.029509e-05,8.442977e-06,8.39185,1.9,0,0,0
AZE,Azerbaijan,N,2008,2005,X,3.468975,0,0,0,8.7634,1.9,0,0,0
AZE,Azerbaijan,N,2010,2005,X,3.468975,0,0,0,9.054332,1.9,0,0,0
AZE,Azerbaijan,N,2011,2005,X,3.468975,0,0,0,9.173082,1.9,0,0,0
AZE,Azerbaijan,N,2012,2005,X,3.468975,0,0,0,9.295784,1.9,0,0,0
AZE,Azerbaijan,N,2013,2005,X,3.468975,0,0,0,9.416801,1.9,0,0,0
AZE,Azerbaijan,N,2015,2005,X,3.468975,0,0,0,9.649341,1.9,0,0,0
BDI,Burundi,N,1981,1992,X,1.76213,0.8163287,0.3731898,0.2055233,4.223195,1.9,0.846181,0.4064688,0.231362
BDI,Burundi,N,1984,1992,X,1.76213,0.8373137,0.3960866,0.2231587,4.571292,1.9,0.8642078,0.4291169,0.2497178
BDI,Burundi,N,1987,1992,X,1.76213,0.7902714,0.3474857,0.1864522,4.987736,1.9,0.8235907,0.3808674,0.2113676
BDI,Burundi,N,1990,1992,X,1.76213,0.7832699,0.3410146,0.1817688,5.415415,1.9,0.8174801,0.3743908,0.206433
BDI,Burundi,N,1993,,X,1.76213,0.7878748,0.3524665,0.1934795,5.771398,1.9,0.8202738,0.3852738,0.2180677
BDI,Burundi,N,1996,,X,1.76213,0.8123862,0.4005595,0.2396284,6.041112,1.9,0.842651,0.4315452,0.2643584
BDI,Burundi,N,1999,,X,1.76213,0.80904,0.4138187,0.2565571,6.27894,1.9,0.839168,0.4436432,0.2806894
BDI,Burundi,N,2002,,X,1.76213,0.7781442,0.360368,0.2056334,6.741569,1.9,0.8092663,0.3918732,0.2295346
