cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,453.485262593784,463.317688808446,474.284525102931,567.152447132654,549.890123747297,552.028440358162,531.666578379169,521.095127324735,525.226548676262,537.122896182795,535.141809358967,578.576901519863,616.714981430381,675.735471827618,725.614483726536,785.934207153078,683.749856620618,759.902638472904,674.349952630569,646.270797285458,660.38943244152,657.069316705025,650.025204204469,656.654977106607
AFG,8232766.30820726,8409962.91880029,8768665.19755974,8933790.67364765,8907782.07244189,8795659.16813758,8717885.17285589,8483167.98021017,8318097.05003799,8235547.77516758,7553458.48887119,6390769.62574119,6071118.69496828,6026029.39705563,5896925.53271488,5642954.39043317,5495462.53368097,4589184.91870077,3803649.90515338,3942514.08790012,4887018.0634094,3541278.32794806,2812846.32083422,2584138.63626444
AGO,3533170.9,3839856.3,3760622,4213994.5,4193689.5,3857609.6,3665576.7,3191696,3048576,3520055,3853548.1,4286763,4479636,4859026.2,5287088,6012188,6929767,8053864,9352522.5,10257987.6,11518994.3,11388384,11423582,11984577.1
ALB,56196,45893.4,33997.1,25510.2,23544.8,18166.1,12216,8769.6,5984,10367,13234.5,15215.2,18104,27146.7,29794.2,3507.6,4097.8,11427,1467,0,0,0,0,0
AND,327.51713409551,333.788012367375,349.472807970581,426.826068460657,422.137872775702,436.102467882948,426.386067809036,424.028387921108,436.822080087188,446.716072072819,440.70501947209,470.802772805379,490.976975507682,531.403623476088,551.187925138427,589.450655364808,501.416561521787,552.004746815223,489.857984458055,469.460862179059,475.233516803711,472.844274638196,467.775146950879,468.170678122303
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,1849194.2,3083945.6,4717305,2022715.2,1475574.9,1029513.5,838650.8,687484,642073.8,620144.8,309180,295757.6,269420.8,263741.8,262184.1,264843.7,293774.9,185938.2,344105.3,351795.6,509723.2,445365.8,347355,411021.6
ARM,408924,426085,302489.8,227557.2,159653.2,78400.3,59180,45183.6,25590.4,36100,27331.5,34212.5,23920.6,50355.6,41846.4,33545.5,32467.5,23147,39315.6,30251.1,55841,43806,32634,20573
ASM,292.246058115994,288.950816676235,294.555652432347,344.969014235326,327.712295970611,325.696779811315,310.577506181891,296.308993968967,296.414982916306,297.810714715213,293.803346314727,311.977741015613,329.31382503564,360.829620878825,383.738428893841,415.638282629031,358.154686801276,401.457997683799,356.260352333131,341.42608158477,345.624375857244,343.886745191415,340.200106873367,340.487765907129
ATG,423.252911754198,423.462403749655,429.352306935285,514.530055130656,488.791221108708,491.305311918764,473.762297565596,470.007369743878,478.424182952634,494.578508366336,498.416391069626,544.542966136342,580.789836881038,642.932779020452,690.729172008914,755.705968416421,657.702243035071,731.227067209776,655.264576612723,640.173902971444,648.045704732333,650.928481969464,650.025204204469,656.654977106607
