cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AGO,6074949.5,5368326.3,5097927.3,6048856.9,6453716.5,6381772.8,6666527,6629068.6,7082880,8275850,8962011.5,9670646.7,10058476.8,10700776.8,11206796,12180392,13496477.6,14695919,16086092.5,17238632.4,17923542,18604416.6,19148932.4
ALB,125192.2,108021.2,91698.6,72175.2,71563.8,42182.3,31761.6,25099.2,15558.4,28731.4,34115.6,41549.2,50224,96327,128816.1,39752.8,41270.7,57721,38142,9695.4,9708.6,9715.2,9725.1
ARG,8786451.8,10694508.8,16512462,11531009,9864276.3,8580584,7104796.4,7014735,6121911.2,5340589.1,5120020.8,4061460,3893972.5,3679623.5,4087493.1,3651369.7,3705071.5,3178657.8,3919225.3,4898077.2,4974352.3,5169916.4,5117697
ARM,305772,309880,212380,137922.6,125441.8,60812.4,39946.5,31687.2,21519.2,27147.2,18988.2,32487.5,21903.2,46882.8,34581.4,28294.9,20475,20803,34327.8,25258.2,20573,26460,25284
AZE,3635854.8,3466114.4,664643.1,802656,582981,262116.6,16398.9,872.5,882.2,0,0,0,0,0,0,0,0,982.8,992.4,0,1010,0,0
BDI,4556871.9,4235831.6,3958989.3,4275399.7,4333618.8,4645313.4,4454570,4625261.4,5079943.2,5242806.4,5247049.5,5329944.2,5134769,5226240,5140872.4,5853206.1,6395434.8,7216955.2,6943323,7086827.2,7309668,7549731,7776112.5
BEN,657762.8,596591.1,643507.2,573024,551025,745518.8,667220.4,584240.5,816648.3,934752.5,1103880,1282911.6,1352331,1615646,1752904.8,2091932.8,1741694.4,1139952,462885.8,135711.5,139414.5,143175,138034.8
BFA,3644912,3002721.6,2746256.2,1991739.6,1735729.2,2037459.6,1829576.7,1690287.2,2118298,2296889.7,2005242.5,1822090.6,1524532,1140476.4,731577.6,1280447.7,1378013.3,1368532.2,1212772.8,953054.9,980350.7,907173.4,915064.2
BGD,44014179,44416238.4,44518265.9,42400795,39240953.9,35327055.3,33434640,31958590.8,31279021.2,30406955.5,29456046.4,29751189.6,26255572.2,25762858.5,25504800,24615392.7,22585147.2,17767893,14124643.2,13092341.4,12936855,12982550,12697685.7
BLR,5380254.4,4291793.1,4026754.2,3953466,3000527.6,1984056.4,1376885,943209.3,859432.8,803464.2,628059.9,673174.8,313523.2,151664,115717,184028.4,185808,142966.8,74670.8,51887,51788,51683.5,51579
BLZ,21439.6,20859,20698,20040.5,21804,23149.4,24589.5,25866.4,31283.3,33189.8,28087.5,28787.5,29400,30100,30712.5,31161.2,31011.5,32550,37189.3,39429,40237.8,42241.5,41855.4
