cc,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,4300546.35466984,4339771.31959473,4461791.11973739,4466934.68433416,4423177.41040415,4207545.71660732,4039979.81675503,3796629.33252627,3610249.16106716,3472340.19708148,3032477.82846302,2203507.58769919,1918586.34025879,2001464.71996192,2022513.44324093,1905885.66179229,1871486.0164721,1500421.81643308,1239602.55466382,1103512.11059576,1108062.34299182,1153687.22957451,1132001.76903095,1125102.97550599
AGO,6074949.5,5368326.3,5097927.3,6050677.2,6461262.5,6387638.4,6668553.3,6629068.6,7082880,8255555,8962011.5,9702131.4,10060986.4,10737174,11222948,12222182,13637666.2,14844844,16086092.5,17260884,17956369,18631531.8,19190918,19758844.8
ALB,125192.2,108645.6,91698.6,72175.2,71563.8,42182.3,31761.6,25099.2,15558.4,28731.4,34115.6,41549.2,50224,96327,128816.1,39752.8,41270.7,57721,38142,14690,14710,14720,14735,10314.5
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,8786451.8,10694508.8,16512462,11531009,9864276.3,8580584,7104796.4,7014735,6121911.2,5340589.1,5120020.8,4061460,3893972.5,3679623.5,4087493.1,3651369.7,3705071.5,3178657.8,3919225.3,4898077.2,4974352.3,5169916.4,5117697,5095733.7
ARM,305772,309880,212380,137922.6,125441.8,60812.4,39946.5,31687.2,21519.2,27147.2,18988.2,32487.5,21903.2,46882.8,34581.4,28294.9,20475,20803,34327.8,25258.2,20573,25284,24108,20573
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,3635854.8,3466114.4,664643.1,802656,582981,262116.6,16398.9,872.5,882.2,0,0,0,0,0,0,0,0,982.8,992.4,0,1010,0,0,0
BDI,4552391.2,4229931.2,3941462.7,4262189,4322127.6,4633436.6,4454570,4560955.5,5112791.2,5241957.5,5316308.8,5372446.3,5525235.1,5323200,5146807.6,5782833,6233365.2,6970342.4,6724591.5,6843731.2,7058928,7299919.2,7518810,7740666.8
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,658449.4,596591.1,643507.2,573024,544050,724765.6,675437.4,576631,811430.1,950853.5,1098360.6,1288588.2,1352331,1615646,1753933.5,2091932.8,1760176.8,1163421.6,481263.4,139251.8,143051.4,146910,148259.6,150857
BFA,3647233.6,3000332.8,2774530.1,1991739.6,1735729.2,2038801.8,1830959.6,1691712.4,2128581,2296889.7,1999000.5,1815657.8,1521217.8,1140476.4,731577.6,1090282.2,1230702,1203463.8,1171293.6,957119.1,984531.3,870628.5,923905.4,920119.5
BGD,44014179,44456470.5,44586566.4,42470304.5,39339868.8,35327055.3,33478250.4,31973304.7,31219498.8,30316682.5,29456046.4,29658842.4,26162136,25589530.4,25377276,24421951.5,22585147.2,22658592,21794208,20941023.6,20933257.5,21043050,20735511.3,20591379.6
BGR,2206010.70334735,2006540.63024488,1783900.43724144,1759921.66740981,1497326.45662707,1371119.60723014,1121393.8615177,965800.053424881,858094.410492856,823329.141523109,780287.355628386,734853.188845848,700094.728969869,632884.095996657,671458.195115733,673015.090431669,620294.056709663,632174.091700327,579807.986529018,611407.092084918,608522.002500527,609484.181045287,595508.872007486,585274.502746305
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,1038869.11451871,954182.183688959,856344.781467542,852447.962943247,731162.512270046,674941.345118363,555917.219217953,481687.511778182,430075.547416126,413762.646631852,392198.452079521,368425.579182095,349329.171287386,314003.188283505,331545.267762767,331538.222313511,305885.333349395,312919.483358228,288626.883162022,306359.656099783,306716.133248825,308810.034853474,303236.180442152,299356.623056139
BLR,5380254.4,4291793.1,4026754.2,3953466,3000527.6,1984056.4,1376885,943209.3,859432.8,803464.2,628059.9,673174.8,313523.2,151664,115717,184028.4,185808,142966.8,74670.8,51887,51788,51683.5,48765.6,48661.6
BLZ,24255.4,22134,21431.6,22004.2,23211.6,24564.4,25462.5,29263.6,33063.9,39344.2,38199,38427.2,36187.2,36360.8,35486.1,36294.9,37103.7,37912.5,38721.3,38298,39083.6,39771,40654.8,41342.2
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,3039930,2574591,2740721.8,2502921,1965566.4,2389186.8,2116752,2006425,1805760,1643415.6,1478922.9,1328412.2,1408886.4,1230320,1303350.8,1270912.5,1465524.8,1444365.7,1314398,978680,990475.2,1015083.6,1022179.2,1033806.5
BRA,37704448.8,36598930.9,35561807.4,40292025.6,35894593.4,31327456.8,24722769.6,24260429,23678523.3,22393550.4,20781657.6,19868600,19053295,18135756.8,16929257.7,18536580,22571881.1,22665890.4,21845821.2,22131350.6,22241752,22518078.8,22595134.8,22643654.3
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,115661,140653.2,96354,56409.6,46528,29651.2,140649.6,28441.8,43111.5,30773.4,16502.9,16524.3,15511.8,10710,13114.4,11032,11650.8,12266.4,1715.7,6195,6012,6330,6312.2,4993.8
BWA,549303.3,568971,557496,535427.2,490354.9,434304,383220.5,356769.6,361177.6,463283.9,417911,399945,441823.5,392374.7,370944.8,433381,407205.9,400695.9,363248.1,347553.6,352494.4,358476.3,361920,366705.6
CAF,2893227.5,2888932.1,2882975.3,2986148.1,2961366.5,2985884.5,2956527.2,2919397.5,2918971,2825166,2790857.7,2733940.8,2637115.2,3460050,3460747.5,3408590.8,3390372,3410853.9,3397146,3410534.2,3466844.5,3557790.9,3636535.2,3711910.4
CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,931043,875731.5,851508,796320,603817.2,453730.7,303533.4,295188.9,341571,380335.4,309272.6,260725.6,199053.5,150181.8,146187.9,143872.2,121788,97497,125559.3,155864.5,157020.5,161863.5,159239,160301.5
CHN-R,59160901.8,54085593.6,47418414.8,36111090.6,28769438.4,14661052,9699482,20805300.4,29540255.1,23536946.6,19814537.4,16242144,12802307.6,2533962.6,2352637.6,1181184.4,1153700.9,948096,809233.6,225461.2,219788.8,214201.2,208707.6,152490
CHN-U,2854337.4,2585746.8,2345347,2494128,2757243.6,2472725.2,2274070.5,2296036,2565267.5,2136321,1740320.4,1519592.8,1423734,1759341.6,1885657.5,1240564.8,716660.1,490174.8,251106.6,171281.8,175015.2,178595.4,182016.2,185275.2
CIV,1271549.4,1363200,1472636.8,1967784,1835796,1971120,2122450,2502174.6,2762866.6,2998374.4,3221317.9,4402787.2,4202407.8,3760579.2,3309950.8,3235260,2277185.6,1348372.5,856766.4,541257.2,554825.2,563388,577458,589024.7
CMR,6451150.96480448,6407133.99843015,6435793.19572501,6403078.2961876,6082994.5298803,6081140.44699027,5904697.47288867,5839248.76383597,6108892.26266427,6228586.38987381,5921000.49017516,5984856.46362613,6007566.78534789,5909206.57451943,5836556.050784,6105100.96168578,6290065.84568225,6518070.89264839,6498048.935086,6765839.78886235,6949189.60239124,7136228.38912353,7246934.46556238,7334635.06805864
COD,38889483.6,40704193.4,41926185.5,42828426,43584163,44337359.8,43809516.4,42563354.8,41017416.2,42750165,40126853.7,38073109.1,35303452.2,33005044.8,31877392.8,31705571.7,33336822.4,34244140,34022025,34587126.4,35614039.5,36962100.8,38031267.4,39165840
COG,1571220,1615223.6,1600949.3,1691115.8,1728958,1703302,1529514,1809080,1699084.8,1639956.8,1428407.2,1548410.3,1413528.3,1534896,1430125.6,1575423,1833570.2,1971296.7,2197393,2256702.4,2318021.2,2399524.2,2446857.6,2497759
COL,7313124,9181536,6663991.6,6529344.8,5977087.6,5531950.8,5724981.6,5999500,6699378.4,6044869.6,5129040.6,4492197.6,4411502.1,3934203.3,3550945.6,3467593.2,3790068.7,3267795.6,3210213.6,3933165,3937248,4005619.2,3941053.2,3909840.9
COM,114470.4,113702,120912.5,122721.5,123965.4,126904.7,132673.2,149778.6,154066.5,148665.7,151041,158285.2,168764.4,171171,188763.3,195182.4,201547.2,203988.4,207584,213771.2,217945.2,222532.8,227475.6,232611.2
