cc,type,2020,2021,2022,2023
AFG,fpl_2019eq_fo_2020,1230799.46673586,,,
AFG,fpl_2019eq_fo_2021,,1220575.01912499,,
AFG,fpl_2019eq_fo_2022,,,1274623.99884098,
AFG,fpl_2019eq_fo_2023,,,,1264266.55836463
AFG,fpl_2019eq_gr_2020,1325058.01029996,,,
AFG,fpl_2019eq_gr_2021,,902368.363208307,,
AFG,fpl_2019eq_gr_2022,,,687167.789607449,
AFG,fpl_2019eq_gr_2023,,,,599877.344672327
AGO,fpl_2019eq_fo_2020,18199288.8,,,
AGO,fpl_2019eq_fo_2021,,19489050,,
AGO,fpl_2019eq_fo_2022,,,20349020.8,
AGO,fpl_2019eq_fo_2023,,,,20878223.8
AGO,fpl_2019eq_gr_2020,18576799.3,,,
AGO,fpl_2019eq_gr_2021,,18726435,,
AGO,fpl_2019eq_gr_2022,,,19008980.4,
AGO,fpl_2019eq_gr_2023,,,,19820230.1
ALB,fpl_2019eq_fo_2020,15886.8,,,
ALB,fpl_2019eq_fo_2021,,15897.6,,
ALB,fpl_2019eq_fo_2022,,,22102.5,
ALB,fpl_2019eq_fo_2023,,,,27996.5
ALB,fpl_2019eq_gr_2020,15886.8,,,
ALB,fpl_2019eq_gr_2021,,11776,,
ALB,fpl_2019eq_gr_2022,,,10314.5,
ALB,fpl_2019eq_gr_2023,,,,7956.9
ARG,fpl_2019eq_fo_2020,4460078,,,
ARG,fpl_2019eq_fo_2021,,4573034.4,,
ARG,fpl_2019eq_fo_2022,,,4719396.6,
ARG,fpl_2019eq_fo_2023,,,,4880881.5
ARG,fpl_2019eq_gr_2020,5606955.2,,,
ARG,fpl_2019eq_gr_2021,,4807195.8,,
ARG,fpl_2019eq_gr_2022,,,4154365.8,
ARG,fpl_2019eq_gr_2023,,,,4465189.2
ARM,fpl_2019eq_fo_2020,20573,,,
ARM,fpl_2019eq_fo_2021,,31752,,
ARM,fpl_2019eq_fo_2022,,,36750,
ARM,fpl_2019eq_fo_2023,,,,37619.2
ARM,fpl_2019eq_gr_2020,51726.4,,,
ARM,fpl_2019eq_gr_2021,,37632,,
ARM,fpl_2019eq_gr_2022,,,30282,
ARM,fpl_2019eq_gr_2023,,,,18221.8
AZE,fpl_2019eq_fo_2020,1010,,,
AZE,fpl_2019eq_fo_2021,,1017.9,,
AZE,fpl_2019eq_fo_2022,,,1025.2,
AZE,fpl_2019eq_fo_2023,,,,3096
AZE,fpl_2019eq_gr_2020,1010,,,
AZE,fpl_2019eq_gr_2021,,0,,
AZE,fpl_2019eq_gr_2022,,,0,
AZE,fpl_2019eq_gr_2023,,,,0
BDI,fpl_2019eq_fo_2020,7384890,,,
BDI,fpl_2019eq_fo_2021,,7749088.2,,
BDI,fpl_2019eq_fo_2022,,,8341417.5,
BDI,fpl_2019eq_fo_2023,,,,9114726.5
BDI,fpl_2019eq_gr_2020,7255938,,,
BDI,fpl_2019eq_gr_2021,,7452513.6,,
BDI,fpl_2019eq_gr_2022,,,7697527.5,
BDI,fpl_2019eq_gr_2023,,,,7880291.1
BEN,fpl_2019eq_fo_2020,143051.4,,,
BEN,fpl_2019eq_fo_2021,,191730,,
BEN,fpl_2019eq_fo_2022,,,171265.4,
BEN,fpl_2019eq_fo_2023,,,,207264.4
BEN,fpl_2019eq_gr_2020,140626.8,,,
BEN,fpl_2019eq_gr_2021,,135705,,
BEN,fpl_2019eq_gr_2022,,,122697.6,
BEN,fpl_2019eq_gr_2023,,,,116750.2
BFA,fpl_2019eq_fo_2020,1109949.3,,,
BFA,fpl_2019eq_fo_2021,,1257574.5,,
BFA,fpl_2019eq_fo_2022,,,1832338.7,
BFA,fpl_2019eq_fo_2023,,,,1633496.1
BFA,fpl_2019eq_gr_2020,1001253.7,,,
BFA,fpl_2019eq_gr_2021,,892125.5,,
BFA,fpl_2019eq_gr_2022,,,979162.9,
BFA,fpl_2019eq_gr_2023,,,,920119.5
BGD,fpl_2019eq_fo_2020,21221875,,,
BGD,fpl_2019eq_fo_2021,,21300300,,
BGD,fpl_2019eq_fo_2022,,,21532364.7,
BGD,fpl_2019eq_fo_2023,,,,21483614.4
BGD,fpl_2019eq_gr_2020,20016472.5,,,
BGD,fpl_2019eq_gr_2021,,15537900,,
BGD,fpl_2019eq_gr_2022,,,11987446.8,
BGD,fpl_2019eq_gr_2023,,,,9867067.2
BGR,fpl_2019eq_fo_2020,631586.343564492,,,
BGR,fpl_2019eq_fo_2021,,662929.623464912,,
BGR,fpl_2019eq_fo_2022,,,709774.367543251,
BGR,fpl_2019eq_fo_2023,,,,743469.428540859
BGR,fpl_2019eq_gr_2020,625757.511395011,,,
BGR,fpl_2019eq_gr_2021,,513077.083759077,,
BGR,fpl_2019eq_gr_2022,,,446100.274019737,
BGR,fpl_2019eq_gr_2023,,,,418648.601077321
BIH,fpl_2019eq_fo_2020,318341.358759163,,,
BIH,fpl_2019eq_fo_2021,,335889.472597138,,
BIH,fpl_2019eq_fo_2022,,,361420.758458245,
BIH,fpl_2019eq_fo_2023,,,,380270.277329921
BIH,fpl_2019eq_gr_2020,315403.425772298,,,
BIH,fpl_2019eq_gr_2021,,259963.026187855,,
BIH,fpl_2019eq_gr_2022,,,227156.553909817,
BIH,fpl_2019eq_gr_2023,,,,214130.687186295
BLR,fpl_2019eq_fo_2020,48963.2,,,
BLR,fpl_2019eq_fo_2021,,48864.4,,
BLR,fpl_2019eq_fo_2022,,,51579,
BLR,fpl_2019eq_fo_2023,,,,51469
BLR,fpl_2019eq_gr_2020,51788,,,
BLR,fpl_2019eq_gr_2021,,43226.2,,
BLR,fpl_2019eq_gr_2022,,,43138.8,
BLR,fpl_2019eq_gr_2023,,,,43046.8
BLZ,fpl_2019eq_fo_2020,39083.6,,,
BLZ,fpl_2019eq_fo_2021,,40945.5,,
BLZ,fpl_2019eq_fo_2022,,,41855.4,
BLZ,fpl_2019eq_fo_2023,,,,49172.8
BLZ,fpl_2019eq_gr_2020,48954,,,
BLZ,fpl_2019eq_gr_2021,,40945.5,,
BLZ,fpl_2019eq_gr_2022,,,41855.4,
