countrycode,fpl_2000,fpl_2001,fpl_2002,fpl_2003,fpl_2004,fpl_2005,fpl_2006,fpl_2007,fpl_2008,fpl_2009,fpl_2010,fpl_2011,fpl_2012,fpl_2013,fpl_2014,fpl_2015,fpl_2016,fpl_2017,fpl_2018,fpl_2019,fpl_2019eq_2020,fpl_2019eq_2021,fpl_2019eq_2022,fpl_2019eq_2023
MWI,0.990265003,0.969148369,0.923393333,0.887499741,0.855976106,0.869350841,0.881415976,0.877171404,0.863021865,0.854783976,0.836409766,0.801764591,0.785624887,0.758728666,0.742878378,0.755036246,0.785656012,0.788585234,0.793879717,0.829832321,0.878078134,0.881972291,0.940087396,1.000511619
LSO,0.685756508,0.663279369,0.740121238,0.758807226,0.773402814,0.77746177,0.798802384,0.844218442,0.882056596,0.890826441,0.888583834,0.905209522,0.936862447,0.9405477,0.940593873,0.968155315,1.015668201,1.027902756,1.031929027,1.048039059,1.064818895,1.095380336,1.092856945,1.102824711
BEN,0.946930167,0.932534271,0.960186172,0.922650163,0.907984224,0.942743928,0.903599344,0.885924809,0.96826497,0.987635554,1.005638656,1.034635517,1.014797511,1.030756633,1.033909886,1.03542218,1.039360594,1.037350038,1.044742846,1.026351843,1.02229705,1.044007412,1.00082913,0.998039328
SYR,0.828354953,0.828661769,0.826458818,0.830779529,0.83414536,0.839553295,0.846940215,0.837172588,0.876887423,0.856598705,0.858344991,0.881595403,0.892480546,0.973442134,1.000387978,0.978750614,1.044552801,1.034836672,1.028810324,1.0424514,2.703197969,2.733404161,2.608847647,2.435913679
RWA,0.777562495,0.783530356,0.787208298,0.800622979,0.850872862,0.859375547,0.867571249,0.857637351,0.864195785,0.925728752,0.912272549,0.902830967,0.95364991,0.977149818,0.97884567,0.990170842,1.041552288,1.08237557,1.005516308,1.009139988,1.143172257,1.035064278,1.035618169,1.110163014
BFA,0.986193979,1.025759198,1.033560367,0.992654861,0.948547193,1.029480576,1.002802794,0.991791667,1.105633556,1.134458538,1.158026838,1.195982746,1.214030187,1.203324817,1.167133817,1.184883254,1.199133115,1.188752444,1.20618366,1.16392788,1.19598415,1.18961044,1.310615436,1.253900477
GHA,2.301078121,2.334318742,2.259547564,2.233216222,2.22881814,2.192799279,2.157807382,2.133166176,2.108757755,2.045906422,1.960111647,1.875402311,1.726564682,1.658823896,1.533947846,1.40732283,1.301668158,1.242534393,1.242792795,1.246647251,1.299732735,1.319286135,1.332971033,1.402930923
SLB,1.269520249,1.278575555,1.292141324,1.305233124,1.314423956,1.324322215,1.340081562,1.318790316,1.395450505,1.4581009,1.406986985,1.372127857,1.352641765,1.316975605,1.290728125,1.260707968,1.260825485,1.246184753,1.231023379,1.205775962,1.413971278,1.408923885,1.544024182,1.565183285
ZMB,1.485538277,1.448376373,1.410489355,1.368386634,1.349742897,1.352533466,1.301732307,1.238382891,1.253195915,1.262638759,1.235688228,1.217250422,1.222304229,1.217110778,1.210725095,1.221228881,1.256654337,1.24702978,1.242942105,1.257634933,1.327740944,1.369767303,1.373439234,1.368472864
NER,0.976043856,1.008164059,1.02486777,0.989068458,0.97457147,1.042479969,1.019606612,1.013894461,1.097809134,1.184638338,1.198296151,1.203567203,1.236718518,1.262717917,1.258364764,1.251512953,1.234259629,1.273825911,1.229390595,1.19910302,1.187346072,1.283572807,1.358356291,1.328190981
