countrycode,fpl_2019eq_fo_2020,fpl_2019eq_fo_2021,fpl_2019eq_fo_2022,fpl_2019eq_fo_2023,fpl_2019eq_gr_2020,fpl_2019eq_gr_2021,fpl_2019eq_gr_2022,fpl_2019eq_gr_2023
SYR,1.134414588,1.046400189,0.987680949,0.966239944,2.484058773,2.484058773,2.484058773,2.484058773
COD,1.550026154,1.550026154,1.550026154,1.550026154,1.622486331,1.603715261,1.590545993,1.545198294
MOZ,1.872610539,1.96105797,2.00754254,2.112536177,1.899661156,1.835957374,1.814328083,1.752571613
AGO,3.719372121,3.898552192,3.963865147,3.931328208,3.817577632,3.703361799,3.62070139,3.674867287
ZWE,3.03906129,3.132006792,3.963387418,4.165490512,2.955799185,2.880367,2.782429011,2.737175883
BRA,3.754907306,3.896358428,3.993999794,4.043414716,3.747458389,3.65356038,3.519070169,3.4445435
MEX,4.007076907,4.065534487,4.26771495,4.345358856,4.364126471,4.079596314,3.868009014,3.792038076
TZA,1.454581596,1.455390179,1.496660206,1.550747382,1.47268134,1.483272411,1.457590047,1.43057627
KEN,2.203930129,2.261454163,2.372262875,2.409202287,2.263784801,2.173674544,2.148430486,2.09139262
EGY,2.89511554,2.877436615,3.122518007,3.638418136,2.887395683,2.764253801,2.732212154,2.682857699
ZAF,2.615373233,2.652540323,2.708179287,2.821104981,2.780855094,2.660144164,2.614068808,2.6274888
YEM,2.550221875,2.470117223,2.368421496,2.326267369,2.844264329,2.92480149,2.93951713,3.009856276
UGA,1.477327982,1.465725432,1.55224626,1.640516779,1.519217909,1.480551039,1.462912736,1.44379367
BDI,1.79208658,1.824911843,1.913006406,2.065517048,1.75962337,1.753982978,1.758865244,1.753886554
MDG,1.510420462,1.53364816,1.553048861,1.575829785,1.521111718,1.512864939,1.511495269,1.496045055
MWI,0.863469334,0.87966974,0.921140698,0.970564613,0.843872025,0.832004422,0.846900921,0.855436999
IRN,3.312880788,3.658031138,4.125624312,4.232330097,3.398290719,3.294209902,3.200874827,3.14729376
LKA,2.577881413,2.678583695,2.868868562,2.734734305,2.602379353,2.562774521,2.819479467,2.819479467
NER,1.231477194,1.278507397,1.316544026,1.290992934,1.156132056,1.203853833,1.237185462,1.233653396
TCD,1.535352438,1.526005373,1.605642175,1.659324473,1.506043156,1.529974891,1.545919692,1.531817987
ZMB,1.263102624,1.322005258,1.34732019,1.351492262,1.321993448,1.303071376,1.282015346,1.27343628
MMR,2.452318777,2.437507983,2.40188718,2.418710413,2.423355109,2.887503062,2.854352098,2.806039144
COL,2.7229553,2.88688413,3.274255588,3.43786636,2.821640011,2.492120956,2.292402839,2.284881287
SSD,1.973545568,2.151021724,2.102844379,1.912167756,2.248771555,2.203515242,2.249623024,2.238605327
ARG,6.35108989,6.412561446,6.494370445,6.582685758,7.183528435,6.591162341,6.078267684,6.267214739
HTI,1.894122105,1.93969232,1.962193305,1.991146408,1.927457745,1.92860788,1.96577728,2.014903213
TGO,2.030611136,2.134070147,2.204794578,2.155196149,2.390115132,2.227815588,2.250720161,2.195154043
PNG,1.273697483,1.269040034,1.286273182,1.336773329,1.363818467,1.751034526,1.71791418,1.703929842
GHA,1.260905938,1.264150697,1.292386461,1.344107466,1.285034983,1.301019283,1.285795483,1.301205464
GIN,2.490153028,2.560484343,2.638485386,2.800409589,2.3995273,2.376484805,2.298380087,2.233392358
BFA,1.187118817,1.221733058,1.330893719,1.290146368,1.172620025,1.133325114,1.146193587,1.131228023
PER,3.024596163,3.07487393,3.20890372,3.340814799,3.407943813,3.069170168,2.990991686,2.987646202
RWA,1.060077692,1.020068567,1.115625072,1.239469889,1.088241783,1.023975042,0.936769648,0.903862127
CAF,2.438534266,2.438534266,2.438534266,2.438534266,2.6118905,2.655029462,2.590057604,2.613975117
MLI,1.503010271,1.52020528,1.57921248,1.573421011,1.494471294,1.497494437,1.506897371,1.490740316
GTM,3.99198723,4.012333652,4.103252148,4.209421984,3.998365628,3.741032668,3.640815966,3.596125436
COG,1.757485999,1.778891458,1.833425142,1.86941955,1.924502903,1.815303191,1.740560848,1.718207606
PHL,2.478981267,2.509379339,2.478374465,2.521233256,2.728340747,2.657503198,2.490292456,2.404793814
LBR,3.990545108,3.824290345,3.788521275,3.819500816,4.082758984,3.994563434,3.914832727,3.844189414
IDN-R,2.077766895,2.101250641,2.137307579,2.146431299,2.08229952,2.055572976,1.971281638,1.905025981
LBN,3.725266773,6.005363419,7.528930692,7.528930692,2.217099358,2.144407484,2.118985624,2.118985624
IDN-U,1.719172325,1.738603092,1.768437089,1.775986177,1.722922679,1.700808777,1.631064988,1.576244165
MRT,2.925575653,2.988410952,3.150433208,3.196161948,2.92834424,2.924046256,2.924772288,2.867994642
CIV,1.440490814,1.488949423,1.541148993,1.544824102,1.387262484,1.387920227,1.376979463,1.33619049
HND,4.500347524,4.432415152,4.612978562,4.792775604,4.8219165,4.25393283,4.11356124,4.073741947
JAM,5.319767138,5.348739003,5.465290907,5.550161053,5.955986891,5.797394085,5.573790496,5.483906026
SEN,1.636070569,1.648319007,1.729834214,1.719846941,1.625578097,1.619427406,1.586079074,1.568073837
BOL,4.762362353,4.756276984,4.779082321,4.845420868,5.322355979,5.113624778,5.022162427,5.005905019
GMB,2.114848176,2.158712128,2.207781141,2.263939325,2.178070531,2.158115617,2.141465098,2.096314911
ECU,3.140287354,3.10934208,3.163037495,3.206172806,3.431219609,3.150120369,3.046137338,3.047010449
FJI,5.156896208,5.483775544,5.568109232,5.843181681,6.069643471,6.369183713,5.451277172,5.143998305
GAB,3.69594683,3.70571545,3.76586752,3.846783798,3.835325573,3.973552189,4.067623344,4.014106865
LAO,2.24752448,2.231535053,2.214447691,2.30703054,2.211490778,2.199834228,2.170709638,2.12401186
TLS,2.122185472,2.164925076,2.347454288,2.165405245,2.214523882,2.312071454,2.000139177,3.478031019
KAZ,3.947328102,4.048650335,4.18747705,4.241823352,4.014420487,3.870255007,3.806613481,3.698180049
PRY,3.063504708,3.19310739,3.343994551,3.359114062,3.237848604,3.091291001,3.058138447,2.978359998
DZA,2.362982629,2.42693999,2.518490479,2.578452945,2.536671637,2.47846853,2.44501246,2.3971728
MNG,2.874284446,3.04655096,3.137379726,3.21310898,2.783855912,3.004863925,2.840671536,2.745572891
SLB,1.186745236,1.151821494,1.191949517,1.208431938,1.436645816,1.474921733,1.561934643,1.561743217
IRQ,3.311648517,3.274805678,3.330325304,3.399261703,3.325066233,3.254900153,3.138265586,3.287090434
CRI,3.603674901,3.621913394,3.864412019,4.041283339,3.911057009,3.934609899,3.57979969,3.47602217
SUR,3.697461187,3.747500991,3.727380962,3.805344018,4.066074056,4.208719762,4.214947202,4.180870592
LSO,1.101603061,1.138881906,1.145136139,1.164678884,1.013043474,1.008007389,1.000192663,0.992379435
RUS,6.183659524,6.352332979,6.482822992,6.426077065,6.497981476,5.886607617,5.97670271,5.853492627
DOM,3.246822598,3.295726681,3.365483411,3.433780062,3.314443948,3.142684985,3.007386173,2.954002016
NAM,1.587008591,1.619367916,1.6437083,1.725149018,1.739522,1.568695584,1.391463592,1.379422086
BWA,2.275777526,2.24848446,2.239414932,2.36868614,2.225169992,2.210932012,2.144910542,2.106569766
VUT,1.894206068,1.946371599,1.993490095,2.001339176,1.931676681,1.977937078,2.00455282,2.037895336
